Año,Mes,Region,Regimen,Sector,Valor,% Variacion interanual
2018,04,Cataluña,Régimen general y minería del carbón,Industria,"434,7","3,1"
2018,04,Cataluña,Régimen general y minería del carbón,Construcción,"131,8","7,1"
2018,04,Cataluña,Régimen general y minería del carbón,Servicios,"2.125,6","3,1"
2018,04,Cataluña,Régimen general y minería del carbón,No clasificables,"1,2",..
2018,03,Cataluña,Régimen general y minería del carbón,Total,"2.693,1","5,1"
2018,03,Cataluña,Régimen general y minería del carbón,Agricultura,"9,1","2,6"
2018,03,Cataluña,Régimen general y minería del carbón,Industria,"433,9","3,7"
2018,03,Cataluña,Régimen general y minería del carbón,Construcción,"130,6","7,1"
2018,03,Cataluña,Régimen general y minería del carbón,Servicios,"2.118,3","5,3"
2018,03,Cataluña,Régimen general y minería del carbón,No clasificables,"1,2",..
2018,02,Cataluña,Régimen general y minería del carbón,Total,"2.652,1","4,2"
2018,02,Cataluña,Régimen general y minería del carbón,Agricultura,"9,0","2,1"
2018,02,Cataluña,Régimen general y minería del carbón,Industria,"432,2","3,7"
2018,02,Cataluña,Régimen general y minería del carbón,Construcción,"129,1","7,4"
2018,02,Cataluña,Régimen general y minería del carbón,Servicios,"2.080,6","4,1"
2018,02,Cataluña,Régimen general y minería del carbón,No clasificables,"1,2",..
2018,01,Cataluña,Régimen general y minería del carbón,Total,"2.626,2","4,4"
2018,01,Cataluña,Régimen general y minería del carbón,Agricultura,"8,9","1,7"
2018,01,Cataluña,Régimen general y minería del carbón,Industria,"429,4","3,4"
2018,01,Cataluña,Régimen general y minería del carbón,Construcción,"127,5","8,3"
2018,01,Cataluña,Régimen general y minería del carbón,Servicios,"2.059,2","4,5"
2018,01,Cataluña,Régimen general y minería del carbón,No clasificables,"1,2",..
2017,12,Cataluña,Régimen general y minería del carbón,Total,"2.633,1","4,3"
2017,12,Cataluña,Régimen general y minería del carbón,Agricultura,"8,8","3,5"
2017,12,Cataluña,Régimen general y minería del carbón,Industria,"427,7","3,4"
2017,12,Cataluña,Régimen general y minería del carbón,Construcción,"123,6","8,1"
2017,12,Cataluña,Régimen general y minería del carbón,Servicios,"2.071,6","4,2"
2017,12,Cataluña,Régimen general y minería del carbón,No clasificables,"1,3",..
2017,11,Cataluña,Régimen general y minería del carbón,Total,"2.649,2","4,3"
2017,11,Cataluña,Régimen general y minería del carbón,Agricultura,"9,0","3,1"
2017,11,Cataluña,Régimen general y minería del carbón,Industria,"431,0","3,5"
2017,11,Cataluña,Régimen general y minería del carbón,Construcción,"127,6","7,7"
2017,11,Cataluña,Régimen general y minería del carbón,Servicios,"2.080,3","4,3"
2017,11,Cataluña,Régimen general y minería del carbón,No clasificables,"1,3",..
2017,10,Cataluña,Régimen general y minería del carbón,Total,"2.636,4","4,5"
2017,10,Cataluña,Régimen general y minería del carbón,Agricultura,"8,9","3,7"
2017,10,Cataluña,Régimen general y minería del carbón,Industria,"428,7","3,5"
2017,10,Cataluña,Régimen general y minería del carbón,Construcción,"126,2","9,3"
2017,10,Cataluña,Régimen general y minería del carbón,Servicios,"2.071,2","4,5"
2017,10,Cataluña,Régimen general y minería del carbón,No clasificables,"1,3",..
2017,09,Cataluña,Régimen general y minería del carbón,Total,"2.661,3","6,1"
2017,09,Cataluña,Régimen general y minería del carbón,Agricultura,"9,1","4,4"
2017,09,Cataluña,Régimen general y minería del carbón,Industria,"428,6","3,8"
2017,09,Cataluña,Régimen general y minería del carbón,Construcción,"124,7","9,8"
2017,09,Cataluña,Régimen general y minería del carbón,Servicios,"2.097,6","6,5"
2017,09,Cataluña,Régimen general y minería del carbón,No clasificables,"1,3",..
2017,08,Cataluña,Régimen general y minería del carbón,Total,"2.603,9","4,5"
2017,08,Cataluña,Régimen general y minería del carbón,Agricultura,"9,2","5,0"
2017,08,Cataluña,Régimen general y minería del carbón,Industria,"426,1","3,2"
2017,08,Cataluña,Régimen general y minería del carbón,Construcción,"121,2","8,7"
2017,08,Cataluña,Régimen general y minería del carbón,Servicios,"2.046,0","4,6"
2017,08,Cataluña,Régimen general y minería del carbón,No clasificables,"1,4",..
2017,07,Cataluña,Régimen general y minería del carbón,Total,"2.640,2","3,5"
2017,07,Cataluña,Régimen general y minería del carbón,Agricultura,"9,3","5,1"
2017,07,Cataluña,Régimen general y minería del carbón,Industria,"428,8","2,6"
2017,07,Cataluña,Régimen general y minería del carbón,Construcción,"125,0","8,8"
2017,07,Cataluña,Régimen general y minería del carbón,Servicios,"2.075,7","3,4"
2017,07,Cataluña,Régimen general y minería del carbón,No clasificables,"1,4",..
2017,06,Cataluña,Régimen general y minería del carbón,Total,"2.644,4","4,7"
2017,06,Cataluña,Régimen general y minería del carbón,Agricultura,"9,5","6,2"
2017,06,Cataluña,Régimen general y minería del carbón,Industria,"426,9","2,9"
2017,06,Cataluña,Régimen general y minería del carbón,Construcción,"125,2","8,8"
2017,06,Cataluña,Régimen general y minería del carbón,Servicios,"2.081,5","4,8"
2017,06,Cataluña,Régimen general y minería del carbón,No clasificables,"1,4",..
